229	3.4505
230	3.4512
231	3.4509
232	3.4508
233	3.4492
234	3.4527
235	3.4474
236	3.4486
237	3.4469
238	3.4406
239	3.4492
240	3.4445
241	3.4454
242	3.4536
243	3.4479
244	3.4518
245	3.4514
246	3.4519
247	3.4526
248	3.4495
249	3.4511
250	3.4481
251	3.4451
252	3.3339
253	3.1827
254	3.0832
255	3.0176
256	2.9791
257	2.9274
258	2.8870
259	2.8224
260	2.7708
261	2.7046
262	2.6601
263	3.2582
264	3.5021
265	3.6838
266	3.8539
267	3.9761
268	4.0960
269	4.2131
270	4.3087
271	4.4143
272	4.4891
273	4.5546
274	4.6199
275	4.6778
276	4.7269
277	4.7674
278	4.8111
279	4.8715
280	4.8972
281	4.9435
282	4.9632
283	4.9995
284	4.9997
285	5.0486
286	5.0638
287	5.0872
288	5.0853
289	5.1237
290	5.1382
291	5.1495
292	5.1592
293	5.1725
294	5.1934
295	5.2033
296	5.1910
297	5.2034
298	5.2238
299	5.2228
300	5.2256
301	5.2287
302	5.2496
303	5.2391
304	5.2469
305	5.2481
306	5.2506
307	5.2696
308	5.2664
309	5.2600
310	5.2654
311	5.2770
312	5.2680
313	5.2774
314	5.2908
315	5.2778
316	5.2798
317	5.2909
318	5.2928
319	5.3013
320	5.2987
321	5.3056
322	5.3037
323	5.3080
324	5.3139
325	5.3025
326	5.3037
327	5.2990
328	5.3130
329	5.3130
330	5.3200
331	5.3169
332	5.3087
333	5.3335
334	5.3223
335	5.3139
336	5.3176
337	5.3160
338	5.3353
339	5.3227
340	5.3251
341	5.3320
342	5.3297
343	5.3501
344	5.3405
345	5.3426
346	5.3435
347	5.3397
348	5.3453
349	5.3394
350	5.3509
351	5.3481
352	5.3518
353	5.3625
354	5.3520
355	5.3481
356	5.3463
357	5.3484
358	5.3581
359	5.3597
360	5.3631
361	5.3809
362	5.3637
363	5.3707
364	5.3600
365	5.3589
366	5.3614
367	5.3836
368	5.3724
369	5.3849
370	5.3873
371	5.3750
372	5.3762
373	5.3971
374	5.3828
375	5.3864
376	5.3916
377	5.3930
378	5.4024
379	5.3815
380	5.3882
381	5.4029
382	5.4105
383	5.3984
384	5.3971
385	5.3846
386	5.3983
387	5.4007
388	5.4065
389	5.4137
390	5.4195
391	5.4027
392	5.4111
393	5.3936
394	5.4142
395	5.4053
396	5.4115
397	5.4117
398	5.4379
399	5.4205
400	5.4263
401	5.4238
402	5.4340
403	5.4231
404	5.4162
405	5.4334
406	5.4274
407	5.4426
408	5.4288
409	5.4120
410	5.4334
411	5.4356
412	5.4385
413	5.4459
414	5.4306
415	5.4498
416	5.4483
417	5.4524
418	5.4488
419	5.4619
420	5.4317
421	5.4424
422	5.4445
423	5.4491
424	5.4588
425	5.4470
426	5.4613
427	5.4647
428	5.4396
429	5.4591
430	5.4500
431	5.4663
432	5.4516
433	5.4580
434	5.4525
435	5.4567
436	5.4561
437	5.4503
438	5.4691
439	5.4686
440	5.4608
441	5.4769
442	5.4719
443	5.4782
444	5.4837
445	5.4782
446	5.4822
447	5.4958
448	5.4904
449	5.4888
450	5.5024
451	5.4756
452	5.4716
453	5.4908
454	5.4770
455	5.4898
456	5.4946
457	5.4913
458	5.4906
459	5.4858
460	5.4864
461	5.4857
462	5.4809
463	5.4940
464	5.4988
465	5.5084
466	5.4900
467	5.5052
468	5.5057
469	5.5056
470	5.5002
471	5.4977
472	5.4964
473	5.4940
474	5.5097
475	5.5010
476	5.5070
477	5.5210
478	5.5210
479	5.5143
480	5.5130
481	5.5202
482	5.5117
483	5.5231
484	5.5172
485	5.5202
486	5.5212
487	5.5337
488	5.5359
489	5.5132
490	5.5162
491	5.5439
492	5.5258
493	5.5315
494	5.5303
495	5.5330
496	5.5278
497	5.5480
498	5.5209
499	5.5437
500	5.5404
